G6P,Glucose-6-phosphate
F6P,Fructose-6-phosphate
FBP,"Fructose-1,6-bisphosphate"
DHAP,Dihydroxyacetonephosphate
G3P,Glyceraldehyde-3-phosphate
_13DPG,"1,3-diphosphoglycerate"
_3PG,3-phosphoglycerate
_2PG,2-phosphoglycerate
PEP,Phosphoenolpyruvate
PYR,Pyruvate
ACCOA,Acetyl-CoA
_6PGL,6-phosphogluconolacton
_6PGC,6-phosphogluconate
RU5P,Ribulose-5-phosphate
XU5P,Xylulose-5-phosphate
R5P,Ribose-5-phosphate
S7P,Sedoheptulose-7-phosphate
E4P,Erythrose-4-phosphate
CIT,Citrate
ACON,Cis-aconitate
ICT,Isocitrate
AKG,α-ketoglutarate
SUCCOA,Succinyl-CoA
SUCC,Succinate
Q8,Quinone
Q8H2,Quinol
FUM,Fumarate
MAL,Malate
OAA,Oxaloacetate
GLX,Glyoxylate
FOR,Formate
LAC,Lactate
ACALD,Acetaldehyde
ETOH,Ethanol
ACTP,Acetyl phosphate
_2DDG6P,2-dehydro-3-deoxy-gluconate-6-phosphate
AC,Acetate
GLC,Glucose
