,0,1,2
0,SUCCt,PTS,0
1,SUCCt,PPC,1
2,SUCCt,PTS,0
3,SUCCt,PPC,1
4,SUCCt,GND,0
5,SUCCt,PPC,1
6,SUCCt,PTS,0
7,SUCCt,PPC,1
8,SUCCt,PTS,0
9,SUCCt,GND,0
10,SUCCt,PPC,1
11,SUCCt,GND,0
12,SUCCt,PPC,0
13,SUCCt,PPC,1
14,SUCCt,GND,0
15,SUCCt,PTS,0
16,SUCCt,PTS,0
17,SUCCt,GND,0
18,SUCCt,PTS,0
19,SUCCt,GND,0
20,SUCCt,PPC,1
21,SUCCt,GND,0
22,SUCCt,PPC,1
23,SUCCt,GND,0
24,SUCCt,GND,0
25,SUCCt,GND,0
26,SUCCt,PPC,1
27,SUCCt,PTS,0
28,SUCCt,GND,0
29,SUCCt,GND,0
30,SUCCt,PTS,0
31,SUCCt,PTS,0
32,SUCCt,PTS,0
33,SUCCt,PPC,1
34,SUCCt,PTS,0
35,SUCCt,PPC,0
36,SUCCt,PTS,0
37,SUCCt,GND,0
38,SUCCt,PPC,0
39,SUCCt,PTS,0
40,SUCCt,PPC,1
41,SUCCt,PTS,0
42,SUCCt,PTS,0
43,SUCCt,GND,0
44,SUCCt,PTS,0
45,SUCCt,GND,0
46,SUCCt,PPC,1
47,SUCCt,GND,0
48,SUCCt,PPC,1
49,SUCCt,PTS,0
50,SUCCt,PPC,1
51,SUCCt,GND,0
52,SUCCt,PTS,0
53,SUCCt,PTS,0
54,SUCCt,PPC,1
55,SUCCt,PTS,0
56,SUCCt,PPC,1
57,SUCCt,PTS,0
58,SUCCt,PTS,0
59,SUCCt,PTS,0
60,SUCCt,PPC,1
61,SUCCt,GND,0
62,SUCCt,PTS,0
63,SUCCt,GND,0
64,SUCCt,GND,0
65,SUCCt,PPC,1
66,SUCCt,GND,0
67,SUCCt,PPC,1
68,SUCCt,GND,0
69,SUCCt,PPC,1
70,SUCCt,GND,0
71,SUCCt,GND,0
72,SUCCt,PPC,1
73,SUCCt,PPC,1
74,SUCCt,PTS,0
75,SUCCt,PPC,0
76,SUCCt,GND,0
77,SUCCt,PPC,1
78,SUCCt,GND,0
79,SUCCt,PPC,1
80,SUCCt,PTS,0
81,SUCCt,GND,0
82,SUCCt,GND,0
83,SUCCt,GND,0
84,SUCCt,GND,0
85,SUCCt,PTS,0
86,SUCCt,PPC,1
87,SUCCt,PPC,0
88,SUCCt,PTS,0
89,SUCCt,PTS,0
